period,org_code,parent_org,org_name,att_type1,att_type2,att_other,att_booked_type1,att_booked_type2,att_booked_other,over4hr_type1,over4hr_type2,over4hr_other,over4hr_booked_type1,over4hr_booked_type2,over4hr_booked_other,wait_4_12hr_dta,wait_12hr_plus_dta,emerg_adm_type1,emerg_adm_type2,emerg_adm_other,emerg_adm_other2,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,a,date,total_attendances,total_over4hr,type1_4hr_pct,total_emerg_adm
MSitAE-DECEMBER-2023,RMP,NHS ENGLAND NORTH WEST,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,8118,0,3099,417,0,191,4354,0,52,0,0,0,572,156,2454,0,0,485,,,,,,,2023-12-01,11217,4406,46.4,2939
MSitAE-DECEMBER-2023,RR8,NHS ENGLAND NORTH EAST AND YORKSHIRE,LEEDS TEACHING HOSPITALS NHS TRUST,17193,0,11421,111,0,19,8158,0,17,48,0,0,1644,545,3958,0,0,1208,,,,,,,2023-12-01,28614,8175,52.6,5166
MSitAE-DECEMBER-2023,RTK,NHS ENGLAND SOUTH EAST,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,9808,0,0,0,0,0,4508,0,0,0,0,0,931,47,2556,0,0,401,,,,,,,2023-12-01,9808,4508,54.0,2957
MSitAE-DECEMBER-2023,RTP,NHS ENGLAND SOUTH EAST,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10435,0,0,0,0,0,3690,0,0,0,0,0,795,528,3031,0,0,795,,,,,,,2023-12-01,10435,3690,64.6,3826
MSitAE-DECEMBER-2023,RTQ,NHS ENGLAND SOUTH WEST,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,6208,0,0,0,0,0,15,0,0,0,0,0,0,0,0,30,,,,,,,2023-12-01,6208,15,,30
MSitAE-DECEMBER-2023,RTR,NHS ENGLAND NORTH EAST AND YORKSHIRE,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,10258,0,4721,0,0,415,4824,0,261,0,0,14,653,118,2720,0,115,2002,,,,,,,2023-12-01,14979,5085,53.0,4837
MSitAE-DECEMBER-2023,RVJ,NHS ENGLAND SOUTH WEST,NORTH BRISTOL NHS TRUST,8586,0,0,65,0,0,2825,0,0,15,0,0,669,269,2704,0,0,1944,,,,,,,2023-12-01,8586,2825,67.1,4648
MSitAE-DECEMBER-2023,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4931,0,12065,0,0,0,2726,0,77,0,0,0,230,12,1765,0,528,2103,,,,,,,2023-12-01,16996,2803,44.7,4396
MSitAE-DECEMBER-2023,RWX,NHS ENGLAND SOUTH EAST,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1275,0,0,0,0,0,11,0,0,0,0,0,0,0,40,0,,,,,,,2023-12-01,1275,11,,40
MSitAE-DECEMBER-2023,RXC,NHS ENGLAND SOUTH EAST,EAST SUSSEX HEALTHCARE NHS TRUST,9230,0,1950,850,1149,0,3935,0,57,0,0,0,244,0,3719,0,0,565,,,,,,,2023-12-01,11180,3992,57.4,4284
